lat,lon,address,district,big_district,metro
55.762325,37.642265,Нет данных,Нет данных,Нет данных,метро Чистые пруды
59.942721,30.327626,Нет данных,Нет данных,Нет данных,метро Невский проспект
55.682295,37.702227,Нет данных,Нет данных,Нет данных,метро Нагатинский Затон
